,State,School,Abbreviation,Type,Email,Size,Website,Address,Notes
89,FL,St Petersburg College,SPC,Community,,28853,"=HYPERLINK(""https://www.spcollege.edu"",""LINK"")","6021 142Nd Ave N, Clearwater, FL 33760",
90,NY,Beth Medrash Meor Yitzchok,BMMY,Private,,164,"=HYPERLINK(""https://www.bethmedrashmeoryitzchok.com"",""LINK"")","85 Dykstras Way East, Monsey, NY 10952",
91,GA,Lanier Technical College,LTC,Community,,4616,"=HYPERLINK(""https://www.laniertech.edu"",""LINK"")","2535 Lanier Tech Drive, Gainesville, GA 30507",
92,OH,Medina County Career Center,MCCC,Community,,51,"=HYPERLINK(""https://www.mcjvs.edu/"",""LINK"")","1101 W Liberty St, Medina, OH 44256",
93,OH,Mount Vernon Nazarene University,MVNU,Private,,2205,"=HYPERLINK(""https://www.mvnu.edu"",""LINK"")","800 Martinsburg Rd, Mount Vernon, OH 43050",
94,MA,Quincy College,QC,Community,,3401,"=HYPERLINK(""https://www.quincycollege.edu"",""LINK"")","1250 Hancock Street, Quincy, MA 2169",
95,MI,Monroe County Community College,MCCC,Community,,2598,"=HYPERLINK(""https://www.monroeccc.edu"",""LINK"")","1555 South Raisinville Road, Monroe, MI 48161",
96,OH,Chamberlain University-Ohio,CU,Public,,637,"=HYPERLINK(""https://www.chamberlain.edu/"",""LINK"")","1350 Alum Creek Drive, Columbus, OH 43209",
97,NY,Suny College At Potsdam,SCP,Community,,3339,"=HYPERLINK(""https://www.potsdam.edu"",""LINK"")","44 Pierrepont Ave, Potsdam, NY 13676",
98,TX,University Of Houston-Victoria,UH,Community,,4506,"=HYPERLINK(""https://www.uhv.edu"",""LINK"")","3007 N. Ben Wilson, Victoria, TX 77901",
99,NC,Lenoir Community College,LCC,Community,,2526,"=HYPERLINK(""https://www.lenoircc.edu"",""LINK"")","231 Highway 58 South, Kinston, NC 28502",
100,NY,Continental School Of Beauty Culture-Mattydale,CSBC,Public,,222,"=HYPERLINK(""https://www.continentalschoolofbeauty.edu"",""LINK"")","2803 Brewerton Road, Mattydale, NY 13211",
101,MA,New England College Of Business And Finance,NECBF,Public,,N/A,"=HYPERLINK(""https://www.necb.edu/"",""LINK"")","10 High St Ste 204, Boston, MA 2110",
102,CO,Paul Mitchell The School-Colorado Springs,PMSS,Public,,163,"=HYPERLINK(""https://www.paulmitchell.edu/coloradosprings"",""LINK"")","118 West Colorado Avenue, Colorado Springs, CO 80903",
103,NC,Grace College Of Divinity,GCD,Private,,187,"=HYPERLINK(""https://www.GCD.edu"",""LINK"")","5117 Cliffdale Road, Fayetteville, NC 28314",
104,WA,Tacoma Community College,TCC,Community,,6095,"=HYPERLINK(""https://www.tacomacc.edu"",""LINK"")","6501 S 19Th St, Tacoma, WA 98466",
105,IL,Quincy University,QU,Private,,1148,"=HYPERLINK(""https://www.quincy.edu"",""LINK"")","1800 College Ave, Quincy, IL 62301",
106,CA,De Anza College,DAC,Community,,18669,"=HYPERLINK(""https://www.deanza.edu/"",""LINK"")","21250 Stevens Creek Blvd., Cupertino, CA 95014",
107,MN,Metropolitan State University,MSU,Community,,7592,"=HYPERLINK(""https://www.metrostate.edu"",""LINK"")","700 East Seventh Street, Saint Paul, MN 55106",
108,KS,Washburn University,WU,Community,,6285,"=HYPERLINK(""https://www.washburn.edu"",""LINK"")","1700 Sw College Avenue, Topeka, KS 66621",
109,OH,The Art Institute Of Cincinnati-Aic College Of Design,AICCD,Public,,N/A,"=HYPERLINK(""https://www.aic-arts.edu"",""LINK"")","1171 East Kemper Road, Cincinnati, OH 45246",
110,TN,Johnson University,JU,Private,,1037,"=HYPERLINK(""https://www.johnsonu.edu/Home"",""LINK"")","7900 Johnson Dr, Knoxville, TN 37998",
111,TX,Texas Woman'S University,TWU,Community,,15886,"=HYPERLINK(""https://www.twu.edu"",""LINK"")","304 Administration Dr, Denton, TX 76204",
112,PA,Pennsylvania State University-Penn State Wilkes-Barre,PSUSW,Community,,N/A,"=HYPERLINK(""https://www.wilkesbarre.psu.edu/"",""LINK"")","Old Route 115, Lehman, PA 18627",
113,PA,Saint Joseph'S University,SJU,Private,,7362,"=HYPERLINK(""https://www.sju.edu"",""LINK"")","5600 City Avenue, Philadelphia, PA 19131",
114,PA,Schuylkill Technology Center,STC,Community,,54,"=HYPERLINK(""https://www.stcenters.org"",""LINK"")","101 Technology Dr, Frackville, PA 17931",
115,SC,University Of South Carolina-Columbia,USC,Community,,35364,"=HYPERLINK(""https://www.sc.edu/"",""LINK"")","Columbia-Campus, Columbia, SC 29208",
116,PA,Immaculata University,IU,Private,,2479,"=HYPERLINK(""https://www.immaculata.edu"",""LINK"")","1145 King Road, Immaculata, PA 19345",
117,PA,Keystone College,KC,Private,,1364,"=HYPERLINK(""https://www.keystone.edu"",""LINK"")","One College Green, La Plume, PA 18440",
118,TX,Del Mar College,DMC,Community,,12008,"=HYPERLINK(""https://www.delmar.edu"",""LINK"")","101 Baldwin Blvd., Corpus Christi, TX 78404",
119,OK,Moore Norman Technology Center,MNTC,Community,,1446,"=HYPERLINK(""https://www.mntc.edu/"",""LINK"")","4701 12Th Avenue Nw, Norman, OK 73069",
120,OH,Bryant & Stratton College-Cleveland,BSC,Public,,N/A,"=HYPERLINK(""https://www.bryantstratton.edu"",""LINK"")","3121 Euclid Avenue, Cleveland, OH 44115",
121,OH,University Of Mount Union,UMU,Private,,2243,"=HYPERLINK(""https://www.mountunion.edu"",""LINK"")","1972 Clark Ave., Alliance, OH 44601",
122,TN,Tennessee Technological University,TTU,Community,,10140,"=HYPERLINK(""https://www.tntech.edu"",""LINK"")","1 William L. Jones Drive, Cookeville, TN 38505",
123,MS,Holmes Community College,HCC,Community,,5529,"=HYPERLINK(""https://www.holmescc.edu"",""LINK"")","#1 Hill St, Goodman, MS 39079",
124,PA,Bryn Mawr College,BMC,Private,,1723,"=HYPERLINK(""https://www.brynmawr.edu"",""LINK"")","101 N Merion Avenue, Bryn Mawr, PA 19010",
125,OH,Urbana University,UU,Private,,N/A,"=HYPERLINK(""https://www.urbana.edu"",""LINK"")","579 College Way, Urbana, OH 43078",
126,WI,University Of Wisconsin-Stout,UW,Community,,8413,"=HYPERLINK(""https://www.uwstout.edu"",""LINK"")","712 S Broadway St, Menomonie, WI 54751",
127,PA,California University Of Pennsylvania,CUP,Community,,6842,"=HYPERLINK(""https://www.calu.edu"",""LINK"")","250 University Ave, California, PA 15419",
128,SD,Mitchell Technical Institute,MTI,Community,,1162,"=HYPERLINK(""https://www.mitchelltech.edu"",""LINK"")","1800 E. Spruce Street, Mitchell, SD 57301",
129,TN,Dyersburg State Community College,DSCC,Community,,2840,"=HYPERLINK(""https://www.dscc.edu"",""LINK"")","1510 Lake Rd, Dyersburg, TN 38024",
130,TX,Houston Community College,HCC,Community,,56151,"=HYPERLINK(""https://www.hccs.edu"",""LINK"")","3100 Main Street, Houston, TX 77002",
131,CA,Solano Community College,SCC,Community,,9330,"=HYPERLINK(""https://www.solano.edu"",""LINK"")","4000 Suisun Valley Rd, Fairfield, CA 94534",
132,CA,National Polytechnic College,NPC,Public,,192,"=HYPERLINK(""https://www.npcollege.edu"",""LINK"")","4105 South Street, Lakewood, CA 90712",
133,CA,Coastline Beauty College,CBC,Public,,172,"=HYPERLINK(""https://www.coastlinebeauty.edu"",""LINK"")","16151 Harbor Blvd, Fountain Valley, CA 92708",
134,AR,Southern Arkansas University Tech,SAUT,Community,,1102,"=HYPERLINK(""https://www.sautech.edu"",""LINK"")","6415 Spellman Road, Camden, AR 71701",
135,CA,Alliant International University-San Diego,AIUD,Public,,3536,"=HYPERLINK(""https://www.alliant.edu"",""LINK"")","10455 Pomerado Road, San Diego, CA 92131",
136,CA,University Of California-Davis,UC,Community,,38634,"=HYPERLINK(""https://www.ucdavis.edu"",""LINK"")","One Shields Avenue, Davis, CA 95616",
137,GA,Georgia State University,GSU,Community,,35041,"=HYPERLINK(""https://www.gsu.edu"",""LINK"")","33 Gilmer St, Atlanta, GA 30303",
138,CA,Grossmont-Cuyamaca Community College District,GCCD,Community,,N/A,"=HYPERLINK(""https://www.gcccd.edu"",""LINK"")","8800 Grossmont College Dr, El Cajon, CA 92020",
139,CO,International Salon And Spa Academy,ISSA,Public,,284,"=HYPERLINK(""https://www.issaco.edu"",""LINK"")","5707 N Academy Blvd, Colorado Springs, CO 80918",
140,CA,Loyola Marymount University,LMU,Private,,9822,"=HYPERLINK(""https://www.lmu.edu"",""LINK"")","One Lmu Drive, Los Angeles, CA 90045",
141,TN,Tennessee College Of Applied Technology-Whiteville,TCAT,Community,,270,"=HYPERLINK(""https://www.tcatwhiteville.edu"",""LINK"")","1685 Highway 64, Whiteville, TN 38075",
142,TN,Union University,UU,Private,,3172,"=HYPERLINK(""https://www.uu.edu"",""LINK"")","1050 Union University Dr, Jackson, TN 38305",
143,WY,Northern Wyoming Community College District,NWCCD,Community,,4347,"=HYPERLINK(""https://www.sheridan.edu"",""LINK"")","1 Whitney Way, Sheridan, WY 82801",
144,CA,Design Institute Of San Diego,DISD,Public,,121,"=HYPERLINK(""https://www.disd.edu"",""LINK"")","8555 Commerce Ave, San Diego, CA 92121",
145,MA,Brandeis University,BU,Private,,5825,"=HYPERLINK(""https://www.brandeis.edu/"",""LINK"")","415 South St, Waltham, MA 2454",
146,MI,Saginaw Valley State University,SVSU,Community,,8251,"=HYPERLINK(""https://www.svsu.edu"",""LINK"")","7400 Bay Rd, University Center, MI 48710",
147,MN,Gustavus Adolphus College,GAC,Private,,2237,"=HYPERLINK(""https://www.gustavus.edu/"",""LINK"")","800 West College Avenue, Saint Peter, MN 56082",
148,NY,Cheryl Fells School Of Business,CFSB,Public,,N/A,"=HYPERLINK(""https://www.cherylfell.edu"",""LINK"")","2541 Military Road, Niagara Falls, NY 14304",
149,ND,Nueta Hidatsa Sahnish College,NHSC,Community,,203,"=HYPERLINK(""https://www.nhsc.edu"",""LINK"")","301 College Drive, New Town, ND 58763",
150,OK,Platt College-Lawton,PC,Public,,161,"=HYPERLINK(""https://www.plattcolleges.edu"",""LINK"")","111 S.W. C Ave., Lawton, OK 73501",
151,FL,New Professions Technical Institute,NPTI,Public,,28,"=HYPERLINK(""https://www.npti.edu"",""LINK"")","4000 W. Flagler St., Miami, FL 33134",
152,AK,Ilisagvik College,IC,Community,,233,"=HYPERLINK(""https://www.ilisagvik.edu"",""LINK"")","Narl Facility, Barrow, AK 99723",
153,PA,Pennsylvania College Of Art And Design,PCAD,Private,,246,"=HYPERLINK(""https://www.pcad.edu"",""LINK"")","204 N Prince St, Lancaster, PA 17608",
154,MD,Cortiva Institute-Baltimore,CI,Public,,135,"=HYPERLINK(""https://www.steinered.com"",""LINK"")","517 Progress Drive Suite A - J, Linthicum, MD 21090",
155,PR,Dewey University-Carolina,DU,Private,,188,"=HYPERLINK(""https://www.dewey.edu"",""LINK"")","Road 3 Compound 11 Lot 7 Carolina Industrial Park, Carolina, PR 986",
156,CA,South Coast College,SCC,Public,,226,"=HYPERLINK(""https://www.SOUTHCOASTCOLLEGE.EDU"",""LINK"")","2011 W. Chapman Avenue, Orange, CA 92868",
157,IL,Hshs St. John'S Hospital School Of Clinical Laboratory Science,HSJHSCLS,Private,,N/A,"=HYPERLINK(""https://www.st-johns.org"",""LINK"")","800 E Carpenter St., Springfield, IL 62769",
158,NE,Hastings College,HC,Private,,998,"=HYPERLINK(""https://www.hastings.edu"",""LINK"")","710 N Turner Ave, Hastings, NE 68901",
159,NE,York College,YC,Private,,507,"=HYPERLINK(""https://www.york.edu/"",""LINK"")","1125 E 8Th St, York, NE 68467",
160,NY,Mesivta Torah Vodaath Rabbinical Seminary,MTVRS,Private,,405,"=HYPERLINK(""https://www.independentrabbinicalcolleges.org/index.html"",""LINK"")","425 E 9Th St, Brooklyn, NY 11218",
161,OK,Enid Beauty College,EBC,Public,,33,"=HYPERLINK(""https://www.enidokbeautycollege.com"",""LINK"")","3905 S. La Mesa Drive, Enid, OK 73703",
162,WI,Herzing University-Madison,HU,Private,,2174,"=HYPERLINK(""https://www.Herzing.edu"",""LINK"")","5218 E. Terrace Dr., Madison, WI 53718",
163,NC,Shaw University,SU,Private,,1291,"=HYPERLINK(""https://www.shawu.edu"",""LINK"")","118 East South Street, Raleigh, NC 27601",
